question_id,image,question,ground_truth,prediction,match_count,vqa_score,infer_time(s)
337185002,COCO_val2014_000000337185.jpg,How many zebras are running?,0,0,9,1.0,12.363
405882001,COCO_val2014_000000405882.jpg,What is the occasion for this cake?,birthday,Birthday,7,1.0,9.698
16631021,COCO_val2014_000000016631.jpg,What does the sign say?,zone,Zone,9,1.0,9.969
479762009,COCO_val2014_000000479762.jpg,Is it sunny outside?,yes,Yes,6,1.0,8.404
53410003,COCO_val2014_000000053410.jpg,What is around his neck?,lanyard,lanyard,5,1.0,9.26
292225001,COCO_val2014_000000292225.jpg,What sport are these people playing?,tennis,Tennis,10,1.0,9.119
290451003,COCO_val2014_000000290451.jpg,Is there  place for people to wait on the train?,no,Yes,4,1.0,9.773
356967005,COCO_val2014_000000356967.jpg,Are they on a paved roadway?,yes,Yes,8,1.0,9.654
569839002,COCO_val2014_000000569839.jpg,What is the girl eating?,sandwich,Hot dog.,0,0.0,9.58
353295000,COCO_val2014_000000353295.jpg,Where is the hot dog?,in bun,on paper,1,0.333,9.093
445950002,COCO_val2014_000000445950.jpg,What does the pillow say?,family,Family,10,1.0,9.963
388481007,COCO_val2014_000000388481.jpg,What website is the laptop on?,itv,itv.com,0,0.0,9.011
135029011,COCO_val2014_000000135029.jpg,How many blueberries are visible?,0,0,8,1.0,9.949
377802005,COCO_val2014_000000377802.jpg,Is this woman wearing shorts?,yes,Yes,10,1.0,9.684
285361003,COCO_val2014_000000285361.jpg,What is this person riding on?,water skis,Water skis,4,1.0,9.973
565622008,COCO_val2014_000000565622.jpg,What toppings are on the bread?,"spinach, artichoke",vegetables,1,0.333,9.865
456046004,COCO_val2014_000000456046.jpg,Did the graffiti artist have to work fast?,yes,No,3,1.0,9.234
558483002,COCO_val2014_000000558483.jpg,What color is the ground?,green,Green,8,1.0,9.264
75636003,COCO_val2014_000000075636.jpg,How many bowls are there?,1,1,8,1.0,9.087
45496002,COCO_val2014_000000045496.jpg,How many sheep are there?,2,2,9,1.0,9.298
368038004,COCO_val2014_000000368038.jpg,Is the train derailed?,no,No,10,1.0,8.844
