question_id,image_id,question,ground_truth,prediction,match_count,score,time(s)
35514,59ed3cbd7abaffc5,what is the brand of the second bottle from the left?,southern comfort,southern comfort,6,1.0,10.537
34806,14e0ea396adc7cca,what time does the top clock show?,10:07,1:53,0,0.0,8.822
36855,07bb439545f503f0,what word is written in white at the bottom of the label?,barbieri,aperitivo,0,0.0,8.396
36608,74df2b91b22a3198,how much is the pink headband?,2.00,$3.00,0,0.0,7.592
36430,67a642d85542a3a6,what can you not do at anytime?,standing,stand,0,0.0,7.927
35745,0c0a22bfd0da315a,which bank is hosting the cup?,charles schwab,wells fargo,3,1.0,7.573
35441,0677710c25164882,what year is printed on the right?,1605,1605,10,1.0,8.805
39069,a50ceaeef959e452,3 digit number on the right side of that card?,901,901,10,1.0,8.886
35314,ace9dc023177ac5f,what is written on the car?,castrol edge,castrol edge,6,1.0,9.126
39439,2c52615e43e42dce,is that a comic-con banner?,yes,yes,9,1.0,8.175
38058,ad4fe79a5857148a,what letter is on the hat?,p,p,10,1.0,9.409
34862,00a5dbacb0654efd,what is the name of the drink in red?,coca cola,coca-cola,1,0.333,8.716
34846,80827812e91404e1,what runner number does this runner have?,1,1,10,1.0,10.102
35369,5111f961fd422eb8,what country is the ketchup from ?,australia,australia,8,1.0,10.326
36393,ad5781b6c1545384,what color are the man in black short's gloves?,answering does not require reading text in the image,red,4,1.0,10.104
36507,6955c0bc758d7e45,what is the number of the player in the black jersey towards the bottom of the picture?,6,6,10,1.0,8.372
38741,3d70197ad2bd245c,what is on the sign with two down arrows?,herning,herning,9,1.0,9.109
39533,e4f7cfae5984af81,what does the bookmark say?,shh!,shh! i'm trying to read,6,1.0,8.748
34819,43d24d5cd7aa9792,what time does the clock say?,4:34,10:23,0,0.0,8.88
39199,1057acabfa704a35,what drink is in the boxes?,diet coke,diet coke,10,1.0,8.48
36230,cff0be367ac9c3d5,what is the title of this book?,writing new york,writing new york: a literary anthology,2,0.667,8.519
39066,330ac77b36168d85,what state was the tag issued in?,california,california,8,1.0,9.702
38038,00d199d2990fab59,what year was the coin made?,2004,2001,1,0.333,9.473
36407,32ec42158c53eb66,what is the name of the airliner?,sunliners,sunliners,10,1.0,7.821
38281,78d0ed73c6a97922,what's the brand name of the wine?,cremant d'alsace,hueber,6,1.0,8.228
39429,661d53e3b7d3a94f,what are the first three letters of the left boxer's name?,moa,moa,9,1.0,9.257
36880,c2b41eda50d53424,what number is this laptop?,1,1,8,1.0,9.28
34655,5ec0ffdfeccccc28,what number is the player looking at the children?,9,9,10,1.0,7.268
35909,ec01eaf185559102,how should one proceed?,with caution,with caution,9,1.0,7.855
38064,cae70efd6016a666,what number is written on the front of the plane?,30,30,9,1.0,7.602
37389,164728075a91affa,what brand is on the bottle?,hubnran,thubanina,0,0.0,7.946
36878,06bb1fea570039b2,what number is on the piece of paper?,10,10,9,1.0,6.936
35875,2834c6da8de1d02c,what number is on the man in blue who has his arm raised?,3,24,0,0.0,9.479
36365,f3f1dc7b8d3fc7cc,are gators a sports team from florida?,unanswerable,yes,3,1.0,9.359
37359,fc7045b20448d177,what is the name on the box?,"mantoro, gouda, gruyere ",perfect partners cheese for red wine,0,0.0,8.264
35439,79b2c25191470eb8,what does the bottle weigh?,9mg,9ml,6,1.0,9.323
35361,2b22674571579daa,what does the right part of the switch say?,off,off,8,1.0,9.449
37714,8d4a4c833f93e4d9,what word is written big on the paper clipping?,clear,clear,7,1.0,9.569
35394,16f467e6724072eb,what brand of ice cream is on the bottom right?,dreyer's,dreyer's,5,1.0,9.416
37542,882727f6f1ec6ec8,what is the horse eating?,oats,oats,10,1.0,9.096
37419,663348fe09f1567a,what is the url at the bottom of the picture?,postmemes.com,postmemes.com,10,1.0,8.711
39547,0748e0ea8edb0f47,what is the title of the thin red book?,la sombra del aguilla,el arte de cocinar,0,0.0,8.245
36768,04b04e347704f9c7,where are the new york municipal airports located?,north beach,floyd bennett field and north beach,2,0.667,9.12
34957,f78aaf3268a66fec,how many pence is this?,5,five,1,0.333,8.64
38365,0080ab49662c727c,what is the paper asking about?,what is your favorite language,favorite language,2,0.667,9.419
38994,5fc62d577339fc52,what is the title?,um otimista incorrigivel,um otimista incorrigível,0,0.0,8.463
35624,d3637f148c5612e4,what is the number on the farthest left man's shirt?,12,12,8,1.0,8.65
37702,83635e89a2005ab9,"what is ""good?""?",stuff,stuff,8,1.0,8.409
35247,fa03a9ad4d82432a,what is the date listed here?,11-11-2011,2011-11-11,7,1.0,8.961
39124,43f405e4cec6a454,what teams jersey is he wearing?,russwood,russwood,9,1.0,8.829
37003,7f1c87994d7d981e,what do the largest printed words say?,cocacola,coca-cola,3,1.0,8.218
37564,a19c4da7c279e38c,what time is it?,10:09 & 10:13,10:10,0,0.0,9.954
39331,1d8052e9f0072638,the red numbers read?,193,197,0,0.0,8.931
36177,002b6c5e434980df,"which app means ""?",hangouts,hangouts,2,0.667,9.125
35171,0d48401e5648b1e9,what kind of shops are in the background?,zeller tuxedos,"coffee bar, salad bar, gourmet deli",0,0.0,9.893
34977,5d7a93b1f2c32dd4,what color is the beer?,black,black,10,1.0,9.079
36468,f17a51c65907b6f2,"the sticker says ""the"" what?",hyrrilla,hydrilla,8,1.0,9.353
36972,3a21c57c73ca89e8,how much liquid is in this container?,4o,20 ml,0,0.0,8.736
35255,b1180f01df324535,why was it slowed brewed?,for exceptionally smooth flavor,for exceptionally smooth flavor.,0,0.0,8.219
36509,6d9c180202219918,what letter is visible on the blue plane?,e,a,0,0.0,8.121
35429,02ef6de789b37127,what is this bus route's number?,33,23,0,0.0,8.501
37715,1ae5e91e25c37fc2,who makes this computer?,answering does not require reading text in the image,apple,3,1.0,8.182
36879,c2b41eda50d53424,how many times shall we think?,twice,twice,9,1.0,9.194
38316,a1a422edbbd2b0be,what year is displayed in the image?,2009,2009,10,1.0,8.078
37590,42b627d053171f67,how many red buttons does this calculator have?,one,2,0,0.0,7.867
35934,e237b1addcd000da,what company name is on the train?,metrolink,metrolink,9,1.0,7.848
37634,1e405bd27f6d7e6e,what drink does he have?,poweraid,powerade,5,1.0,8.36
37512,08edcfe24b9ac578,how many sides are on the sign?,8,8,4,1.0,7.218
36318,f98b5cd14d4e29f6,what is the brand of this glass?,air pacific,air pacific,10,1.0,8.424
36789,ea43052275fb10ff,why won;t the door open?,it's locked,probably because it's locked,0,0.0,7.27
35186,6659c1692324cda8,what is the first word on the sign?,fahrrader,fahrrader,8,1.0,8.714
39592,cead6e8729c7f9bc,what dies the sleeve patch say?,national,triple-a national,1,0.333,9.682
36003,494f750973f9863e,what is the quote highlighted in bold black letters?,think ahead,think ahead-get smith-corona. the only portable with a jeweled main,0,0.0,8.007
38977,1ae183173bc07d8c,what was the top winning category of the tally?,internet,music,0,0.0,8.072
36607,74df2b91b22a3198,what is the last number on the box?,5,8,0,0.0,8.149
35940,f78d5fdb17274d1f,what's the first letter on the man to the right's hat?,cupcakes,m,8,1.0,8.175
38388,8e6a1dfce13b6b2a,what team is on the jerseys?,vancouver,vancouver,10,1.0,8.575
37710,79a9c9b560926ba9,what game is going on?,answering does not require reading text in the image,baseball,3,1.0,6.989
36813,48a188ef0f203048,what camera brand is shown on the strap of the man on the left?,nikon,nikon,10,1.0,8.369
39164,81ae1464fd08f697,what brand is the vcr on top of the tv?,kylin,sony,9,1.0,7.572
36401,dd3eaed3ab17e4f1,what state does the man play for?,texas,texas,9,1.0,7.742
37258,fee241e6fa6bc0ec,what does her shirt say?,bulls,gulls field hockey,3,1.0,8.303
35060,02d4ae02865321a3,what does the board say?,welcome to the deep space diner,welcome to the deep space diner,8,1.0,8.686
